Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,
P,T1,C302,W02b,PT1C302W02b,PT1C302W02b,05/09/2014,05/09/2014,1,61,73,1,4,Construct,,,,,
P,T1,C302,W01a,PT1C302W01a,PT1C302W01a,05/13/2014,05/13/2014,1,72,80,1,7,Construct,,,,,
P,T1,C302,W01b,PT1C302W01b,PT1C302W01b,05/20/2014,05/20/2014,1,64,68,1,30,Construct,,,,,
P,T1,C302,R02,PT1C302R02,PT1C302R02,06/19/2014,06/19/2014,1,124,123,1,4,Construct,,,,,
P,T1,C302,R01,PT1C302R01,PT1C302R01,06/23/2014,06/24/2014,2,208,210,2,144,Construct,,,,,
P,T1,C302,P07,PT1C302P07,PT1C302P07,11/15/2014,11/15/2014,1,29,,,-393,Construct,Code 06.,"Lift ""C3-02 P07"" does not exist in the RFC.",Code 06a.,P-P-S-6810-0003,
P,T1,C301,F01,PT1C301F01,PT1C301F01,10/18/2013,10/18/2013,1,905,944,1,0,Construct,Code 04.,"Lift ""C3-01&C2-01/02F01"" will be separated into ""C3-01 F01"", ""C3-02 F01"" and C2-03 F01"".   All quantities will be asigned to C3-01 F01.",Code 04a.,P-P-S-6810-0003,
P,T1,C302,F01,PT1C302F01,PT1C302F01,10/18/2013,10/18/2013,1,0,0,1,0,Construct,Code 04.,"Lift ""C3-01&C2-01/02F01"" will be separated into ""C3-01 F01"", ""C3-02 F01"" and C2-03 F01"".   All quantities will be asigned to C3-01 F01.",Code 04a.,P-P-S-6810-0003,
P,T1,C203,F01,PT1C203F01,PT1C203F01,10/18/2013,10/18/2013,1,0,0,0,49,Construct,Code 04.,"Lift ""C3-01&C2-01/02F01"" will be separated into ""C3-01 F01"", ""C3-02 F01"" and C2-03 F01"".   All quantities will be asigned to C3-01 F01.",Code 04a.,P-P-S-6810-0004,
P,T1,C301,W02a,PT1C301W02a,PT1C301W02a,12/06/2013,12/06/2013,1,89,90,1,123,Construct,,,,,
P,T1,C301,W01a,PT1C301W01a,PT1C301W01a,04/08/2014,04/08/2014,1,104,86,1,1,Construct,,,,,
P,T1,C301,W02b,PT1C301W02b,PT1C301W02b,04/09/2014,04/09/2014,1,88,117,1,8,Construct,,,,,
P,T1,C301,W01b,PT1C301W01b,PT1C301W01b,04/17/2014,08/07/2014,113,116,127,2,-68,Construct,,,,,
P,T1,C301,R02,PT1C301R02,PT1C301R02,05/31/2014,05/31/2014,1,416,381,1,0,Construct,Code 03.,"Lift ""C3-01 R02&R01"" will be separated into ""C3-01 R01"" and ""C3-01 R02"". All quantities will be assigned to C3-01 R02.",Code 03a.,P-P-S-6810-0003,
P,T1,C301,R01,PT1C301R01,PT1C301R01,05/31/2014,05/31/2014,1,0,0,1,96,Construct,Code 03.,"Lift ""C3-01 R02&R01"" will be separated into ""C3-01 R01"" and ""C3-01 R02"". All quantities will be assigned to C3-01 R02.",Code 03a.,P-P-S-6810-0003,
P,T1,C208,F01a,PT1C208F01a,PT1C208F01a,09/04/2014,09/05/2014,2,172,189,2,95,Construct,,,,,
P,T1,C208,F01b,PT1C208F01b,PT1C208F01b,12/09/2014,12/09/2014,1,186,150,1,25,Construct,,,,,
P,T1,C208,W05,PT1C208W05,PT1C208W05,01/03/2015,01/03/2015,1,34,22,1,9,Construct,Code 06.,"Lift ""C2-08 W05"" does not exist in the RFC.",Code 06a.,P-P-S-6810-0009,
P,T1,C208,P05,PT1C208P05,PT1C208P05,01/12/2015,01/12/2015,1,13,11,1,3,Construct,,,,,
P,T1,C208,W03b,PT1C208W03b,PT1C208W03b,01/15/2015,01/15/2015,1,46,48,1,15,Construct,,,,,
P,T1,C208,P04,PT1C208P04,PT1C208P04,01/30/2015,01/30/2015,1,16,31,1,0,Construct,Code 03.,"Lift ""P04+P03"" will be separated into ""P04"" and ""P03"".   All quantities will be assigned to ""P04.""",Code 03a.,P-P-S-6810-0008,
P,T1,C208,P03,PT1C208P03,PT1C208P03,01/30/2015,01/30/2015,1,0,0,0,8,Construct,Code 03.,"Lift ""P04+P03"" will be separated into ""P04"" and ""P03"".   All quantities will be assigned to ""P04.""",Code 03a.,P-P-S-6810-0008,
P,T1,C208,P02,PT1C208P02,PT1C208P02,02/07/2015,02/07/2015,1,15,15,1,0,Construct,,,,,
P,T1,C208,W01c,PT1C208W01c,PT1C208W01c,02/07/2015,02/07/2015,1,89,69,1,0,Construct,Code 03.,"Lift ""C2-08W02+W01c+d+e"" will be separated into ""C2-08 W01c"", ""C2-08 W01d"", ""C2-08 W01e"", ""C2-08 W02c"", ""C2-08 W02d"" and ""C2-08 W02e"".   All quantities will be assigned to ""C2-08 W01c""",Code 03a.,P-P-S-6810-0008,
