Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in Days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC
P,IW,M06,F02,PIWM06F02,PIWM06F02,02/16/2013,02/16/2013,1,1876,1847,1,6,Construct,,,,
P,IW,M06,F01,PIWM06F01,PIWM06F01,02/22/2013,02/23/2013,2,1328,1355,2,115,Construct,,,,
P,IW,M06,C05 a,PIWM06C05a,PIWM06C05a,06/18/2013,06/19/2013,2,552,556,2,0,Construct,,,,
P,IW,M06,C05 b,PIWM06C05b,PIWM06C05b,06/19/2013,06/20/2013,2,305,242,2,6,Construct,,,,
P,IW,M06,P2-02,PIWM06P2-02,PIWM06P2-02,06/26/2013,06/26/2013,1,65,68,1,33,Construct,,,,
P,IW,M06,C04 a,PIWM06C04a,PIWM06C04a,07/29/2013,07/29/2013,1,508,502,1,21,Construct,,,,
P,IW,M06,C04 b,PIWM06C04b,PIWM06C04b,08/19/2013,08/19/2013,1,256,240,1,1,Construct,,,,
P,IW,M06,P2-01,PIWM06P2-01,PIWM06P2-01,08/20/2013,08/20/2013,1,65,64,1,37,Construct,,,,
P,IW,M06,C03,PIWM06C03,PIWM06C03,09/26/2013,09/27/2013,2,442,449,2,7,Construct,,,,
P,IW,M06,C02,PIWM06C02,PIWM06C02,10/04/2013,10/05/2013,2,577,551,2,9,Construct,,,,
P,IW,M06,C01,PIWM06C01,PIWM06C01,10/14/2013,10/15/2013,2,1530,1528,2,9,Construct,,,,
P,IW,M06,W05,PIWM06W05,PIWM06W05,10/24/2013,10/24/2013,1,261,247,1,35,Construct,,,,
P,IW,M06,W04,PIWM06W04,PIWM06W04,11/28/2013,11/28/2013,1,225,213,1,16,Construct,,,,
P,IW,M06,W03,PIWM06W03,PIWM06W03,12/14/2013,12/14/2013,1,169,169,1,30,Construct,,,,
P,IW,M06,W02,PIWM06W02,PIWM06W02,01/13/2014,01/13/2014,1,119,101,1,334,Construct,,,,
P,IW,M06,W01,PIWM06W01,PIWM06W01,12/13/2014,12/13/2014,1,65,64,1,-681,Construct,,,,
P,IW,M07,F02,PIWM07F02,PIWM07F02,01/31/2013,02/01/2013,2,1686,1554,2,6,Construct,,,,
P,IW,M07,F01,PIWM07F01,PIWM07F01,02/07/2013,02/08/2013,2,1064,1139,2,36,Construct,,,,
P,IW,M07,C05 a,PIWM07C05a,PIWM07C05a,03/16/2013,03/16/2013,1,496,491,1,52,Construct,,,,
P,IW,M07,P2-02,PIWM07P2-02,PIWM07P2-02,05/07/2013,05/07/2013,1,71,63,1,6,Construct,,,,
P,IW,M07,C05 b,PIWM07C05b,PIWM07C05b,05/13/2013,05/14/2013,2,256,223,2,67,Construct,,,,
P,IW,M07,C04 a,PIWM07C04a,PIWM07C04a,07/20/2013,07/20/2013,1,508,490,1,4,Construct,,,,
P,IW,M07,P2-01,PIWM07P2-01,PIWM07P2-01,07/24/2013,07/24/2013,1,66,60,1,13,Construct,,,,
P,IW,M07,C04 b,PIWM07C04b,PIWM07C04b,08/06/2013,08/07/2013,2,232,222,2,22,Construct,,,,
P,IW,M07,C03,PIWM07C03,PIWM07C03,08/29/2013,08/30/2013,2,380,382,2,13,Construct,,,,
