Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,,,,
P,H3C,5A,F02,PH3C5AF02,PH3C5AF02,02/09/2013,02/09/2013,1,273,233,1,17,Construct,,,,,,,,
P,H3C,5A,F01,PH3C5AF01,PH3C5AF01,02/26/2013,02/27/2013,2,137,138,2,-8,Construct,,,,,,,,
P,H3C,5B,F03,PH3C5BF03,PH3C5BF03,02/19/2013,02/20/2013,2,1185,1198,2,41,Construct,,,,,,,,
P,H3C,5B,F02,PH3C5BF02,PH3C5BF02,04/02/2013,04/03/2013,2,432,455,2,19,Construct,,,,,,,,
P,H3C,5B,F01,PH3C5BF01,PH3C5BF01,04/22/2013,04/23/2013,2,529,534,2,-196,Construct,,,,,,,,
P,H3C,5C,F07,PH3C5CF07,PH3C5CF07,10/09/2012,10/10/2012,2,346,239,2,9,Construct,,,,,,,,
P,H3C,5C,F06,PH3C5CF06,PH3C5CF06,10/19/2012,10/19/2012,1,340,280,1,10,Construct,,,,,,,,
P,H3C,5C,F05,PH3C5CF05,PH3C5CF05,10/29/2012,10/29/2012,1,356.2,324,1,9,Construct,,,,,,,,
P,H3C,5C,F04,PH3C5CF04,PH3C5CF04,11/07/2012,11/08/2012,2,457.96,365,2,48,Construct,,,,,,,,
P,H3C,5C,F03,PH3C5CF03,PH3C5CF03,12/26/2012,12/26/2012,1,698,706,1,14,Construct,,,,,,,,
P,H3C,5C,F02,PH3C5CF02,PH3C5CF02,01/09/2013,07/23/2013,196,204,233,3,-182,Construct,,,,,,,,
P,H3C,5C,F01,PH3C5CF01,PH3C5CF01,01/22/2013,01/23/2013,2,144,138,2,78,Construct,,,,,,,,
P,H3C,4A,F03,PH3C4AF03,PH3C4AF03,04/11/2013,04/12/2013,2,707,757,2,28,Construct,,,,,,,,
P,H3C,4A,F02,PH3C4AF02,PH3C4AF02,05/10/2013,07/03/2013,55,247,233,3,-42,Construct,,,,,,,,
P,H3C,4A,F01,PH3C4AF01,PH3C4AF01,05/22/2013,05/22/2013,1,136,138,1,-11,Construct,,,,,,,,
P,H3C,4B,F03,PH3C4BF03,PH3C4BF03,05/11/2013,05/11/2013,1,1282,1233,1,46,Construct,,,,,,,,
P,H3C,4B,F02,PH3C4BF02,PH3C4BF02,06/26/2013,06/27/2013,2,440,455,2,12,Construct,,,,,,,,
P,H3C,4B,F01,PH3C4BF01,PH3C4BF01,07/09/2013,07/09/2013,1,544,534,1,-73,Construct,,,,,,,,
P,H3C,4C,F07,PH3C4CF07,PH3C4CF07,04/27/2013,04/27/2013,1,257,239,1,5,Construct,,,,,,,,
